Item,Quantity,Price
dish8,4,40
dish10,12,50
dish9,7,80
dish4,9,65
dish5,8,50
dish5,12,65
dish2,12,65
dish5,8,85
dish2,10,60
dish1,2,90
dish7,9,50
dish3,8,60
dish2,9,55
dish5,5,60
dish8,8,40
dish10,12,40
dish1,9,50
dish3,3,90
dish5,3,40
dish9,3,45
dish4,4,55
dish1,4,50
dish6,12,45
dish4,8,55
dish1,3,85
dish1,1,85
dish6,8,85
dish3,9,60
dish6,3,45
dish6,3,85
dish2,3,55
dish7,2,80
dish4,5,65
dish7,3,40
dish9,9,80
dish3,1,90
dish8,5,80
dish9,10,30
dish4,1,90
dish8,12,30
dish10,1,40
dish1,10,50
dish1,10,60
dish7,7,90
dish9,2,50
dish10,5,30
dish5,10,55
dish5,5,40
dish2,2,30
dish7,10,65
dish8,12,40
dish7,2,90
dish9,12,85
dish6,9,65
dish1,3,45
dish4,2,50
dish10,2,85
dish5,3,85
dish9,1,80
dish3,5,50
dish4,5,50
dish2,1,50
dish8,7,85
dish1,3,40
dish9,10,50
dish3,10,40
dish9,10,85
dish1,7,90
dish8,5,80
dish7,2,30
dish8,4,65
dish9,1,90
dish8,12,50
dish3,9,55
dish6,1,90
dish8,2,80
dish3,4,40
dish10,5,60
dish5,4,65
dish6,4,40
dish4,1,90
dish2,9,85
dish7,2,65
dish9,3,65
dish10,9,30
dish4,1,50
dish1,5,60
dish8,10,85
dish3,8,60
dish1,12,45
dish6,3,85
dish7,9,90
dish5,12,30
dish4,8,55
dish2,4,90
dish3,4,55
dish10,7,80
dish6,3,80
dish4,7,50
dish4,1,65
